"fullName" "position" "season" "team" "fantasyPoints" "games" "goals" "assists" "points" "plusMinus" "shortHandedPoints" "shots" "hits" "blocked" "wins" "goalsAgainst" "saves" "shutouts"
"Barclay Goodrow" "C" 20212022 "New York Rangers" 152.3 79 13 20 33 13 4 116 130 54 0 0 0 0
"Alex Nedeljkovic" "G" 20212022 "Detroit Red Wings" 152.3 59 0 0 0 0 0 0 0 0 20 178 1618 4
"Esa Lindell" "D" 20212022 "Dallas Stars" 152 76 4 21 25 4 3 136 111 148 0 0 0 0
"Travis Sanheim" "D" 20212022 "Philadelphia Flyers" 151.7 80 7 24 31 9 0 123 64 142 0 0 0 0
"Anton Forsberg" "G" 20212022 "Ottawa Senators" 150.6 46 0 0 0 0 0 0 0 0 22 121 1336 1
"Drake Batherson" "W" 20212022 "Ottawa Senators" 150.5 46 17 27 44 4 0 110 89 15 0 0 0 0
"Adam Henrique" "C" 20212022 "Anaheim Ducks" 149.1 58 19 23 42 -2 0 141 22 47 0 0 0 0
"Nicholas Paul" "W" 20212022 "Ottawa Senators" 149 80 16 16 32 -14 2 166 106 56 0 0 0 0
"Mike Matheson" "D" 20212022 "Pittsburgh Penguins" 148.3 74 11 20 31 12 0 140 97 81 0 0 0 0
"Tyson Barrie" "D" 20212022 "Edmonton Oilers" 148 73 7 34 41 3 1 149 27 73 0 0 0 0
"Christopher Tanev" "D" 20212022 "Calgary Flames" 147.9 82 6 22 28 35 0 88 52 158 0 0 0 0
"Dougie Hamilton" "D" 20212022 "New Jersey Devils" 147.7 62 9 21 30 -19 0 197 87 92 0 0 0 0
"Phil Kessel" "W" 20212022 "Arizona Coyotes" 147.3 82 8 44 52 -24 0 175 6 21 0 0 0 0
"Miro Heiskanen" "D" 20212022 "Dallas Stars" 147.1 70 5 31 36 3 0 156 52 92 0 0 0 0
"Alexandre Carrier" "D" 20212022 "Nashville Predators" 147 77 3 27 30 26 1 95 95 124 0 0 0 0
"Mattias Ekholm" "D" 20212022 "Nashville Predators" 146.8 76 6 25 31 14 1 145 79 96 0 0 0 0
"Josh Anderson" "W" 20212022 "Montréal Canadiens" 146.8 69 19 13 32 -25 0 151 153 35 0 0 0 0
"Cody Ceci" "D" 20212022 "Edmonton Oilers" 146.5 78 5 23 28 8 3 102 117 121 0 0 0 0
"Ville Husso" "G" 20212022 "St. Louis Blues" 146.4 40 0 0 0 0 0 0 0 0 25 100 1136 2
"Adam Pelech" "D" 20212022 "New York Islanders" 146 78 3 25 28 20 2 104 99 128 0 0 0 0
"Tanner Pearson" "W" 20212022 "Vancouver Canucks" 145.6 68 14 20 34 9 0 159 84 41 0 0 0 0
"Jeff Petry" "D" 20212022 "Montréal Canadiens" 145.6 68 6 21 27 -11 1 124 140 117 0 0 0 0
"Jesse Puljujarvi" "W" 20212022 "Edmonton Oilers" 145.3 65 14 22 36 22 0 160 81 15 0 0 0 0
"Reilly Smith" "W" 20212022 "Vegas Golden Knights" 145.1 56 16 22 38 4 4 150 55 23 0 0 0 0
"Cole Caufield" "W" 20212022 "Montréal Canadiens" 145.1 67 23 20 43 -24 0 188 18 7 0 0 0 0
"Martin Necas" "C" 20212022 "Carolina Hurricanes" 145 78 14 26 40 5 1 159 55 19 0 0 0 0
"Brayden McNabb" "D" 20212022 "Vegas Golden Knights" 144.5 69 3 15 18 10 1 85 154 179 0 0 0 0
"John Gibson" "G" 20212022 "Anaheim Ducks" 143.95 56 0 0 0 0 0 0 0 0 18 172 1617 1
"Luke Schenn" "D" 20212022 "Vancouver Canucks" 143.5 66 5 12 17 15 1 78 273 96 0 0 0 0
"Zach Parise" "W" 20212022 "New York Islanders" 143.1 82 15 20 35 -2 2 138 60 57 0 0 0 0
"Oliver Ekman-Larsson" "D" 20212022 "Vancouver Canucks" 142.8 79 5 24 29 5 0 168 105 79 0 0 0 0
"Adam Lowry" "C" 20212022 "Winnipeg Jets" 142.4 79 13 8 21 1 5 115 231 43 0 0 0 0
"Yakov Trenin" "C" 20212022 "Nashville Predators" 142.4 80 17 7 24 7 0 136 191 33 0 0 0 0
"Seth Jarvis" "C" 20212022 "Carolina Hurricanes" 142.4 68 17 23 40 11 0 110 69 21 0 0 0 0
"Jesper Fast" "W" 20212022 "Carolina Hurricanes" 142.2 82 14 20 34 24 1 97 109 36 0 0 0 0
"Dawson Mercer" "C" 20212022 "New Jersey Devils" 142 82 17 25 42 -25 2 154 26 35 0 0 0 0
"James van Riemsdyk" "W" 20212022 "Philadelphia Flyers" 141.6 82 24 14 38 -33 0 186 34 25 0 0 0 0
"Tyler Myers" "D" 20212022 "Vancouver Canucks" 140.5 82 1 17 18 15 0 128 145 148 0 0 0 0
"Oliver Kylington" "D" 20212022 "Calgary Flames" 140.5 73 9 22 31 34 0 138 40 79 0 0 0 0
"Jonas Brodin" "D" 20212022 "Minnesota Wild" 140.1 73 5 25 30 9 1 126 42 126 0 0 0 0
"Ryan Graves" "D" 20212022 "New Jersey Devils" 140 75 6 22 28 -9 0 111 90 135 0 0 0 0
"Brenden Dillon" "D" 20212022 "Winnipeg Jets" 139.6 79 3 17 20 16 0 85 212 108 0 0 0 0
"Pierre Engvall" "W" 20212022 "Toronto Maple Leafs" 139.5 78 15 20 35 13 3 154 66 12 0 0 0 0
"Jake McCabe" "D" 20212022 "Chicago Blackhawks" 139.2 75 4 18 22 -27 0 80 166 167 0 0 0 0
"Matt Roy" "D" 20212022 "Los Angeles Kings" 139.2 67 2 19 21 23 2 153 124 103 0 0 0 0
"Ilya Mikheyev" "W" 20212022 "Toronto Maple Leafs" 139 53 21 11 32 16 4 147 52 18 0 0 0 0
"Luke Kunin" "C" 20212022 "Nashville Predators" 138.6 82 13 9 22 -11 0 125 223 51 0 0 0 0
"Ryan McDonagh" "D" 20212022 "Tampa Bay Lightning" 137.8 71 4 22 26 15 0 85 96 137 0 0 0 0
"Max Pacioretty" "W" 20212022 "Vegas Golden Knights" 137.3 39 19 18 37 8 0 148 30 21 0 0 0 0
"Filip Hronek" "D" 20212022 "Detroit Red Wings" 137.2 78 5 33 38 -29 0 133 70 81 0 0 0 0
"Alex Tuch" "W" 20212022 "Buffalo Sabres" 137 50 12 26 38 -3 1 139 32 49 0 0 0 0
"Artem Zub" "D" 20212022 "Ottawa Senators" 136.9 81 6 16 22 1 0 92 155 124 0 0 0 0
"Frank Vatrano" "W" 20212022 "Florida Panthers" 136.8 71 18 14 32 4 0 161 68 26 0 0 0 0
"Scott Laughton" "C" 20212022 "Philadelphia Flyers" 136.6 67 11 19 30 -9 2 110 151 47 0 0 0 0
"Danton Heinen" "W" 20212022 "Pittsburgh Penguins" 136.5 76 18 15 33 6 0 138 66 33 0 0 0 0
"Evgeni Malkin" "C" 20212022 "Pittsburgh Penguins" 136.4 41 20 22 42 -10 0 129 21 18 0 0 0 0
"Alexander Romanov" "D" 20212022 "Montréal Canadiens" 136.3 79 3 10 13 -9 0 107 227 144 0 0 0 0
"Keegan Kolesar" "W" 20212022 "Vegas Golden Knights" 136 77 7 17 24 -6 1 94 246 46 0 0 0 0
"James Reimer" "G" 20212022 "San Jose Sharks" 135.95 48 0 0 0 0 0 0 0 0 19 129 1321 1
"Dillon Dube" "C" 20212022 "Calgary Flames" 135.8 79 18 14 32 1 3 143 87 15 0 0 0 0
"Linus Ullmark" "G" 20212022 "Boston Bruins" 135.75 41 0 0 0 0 0 0 0 0 26 95 1045 1
"Michael Rasmussen" "C" 20212022 "Detroit Red Wings" 135 80 15 12 27 -25 0 128 142 65 0 0 0 0
"Matt Dumba" "D" 20212022 "Minnesota Wild" 134.9 57 7 20 27 9 0 116 114 84 0 0 0 0
"Vince Dunn" "D" 20212022 "Seattle Kraken" 134.7 73 7 28 35 -21 0 121 76 82 0 0 0 0
"Jonathan Quick" "G" 20212022 "Los Angeles Kings" 134.4 46 0 0 0 0 0 0 0 0 23 116 1168 2
"Rasmus Ristolainen" "D" 20212022 "Philadelphia Flyers" 134.2 66 2 14 16 -9 0 97 230 125 0 0 0 0
"Jordan Greenway" "W" 20212022 "Minnesota Wild" 134.1 62 10 17 27 26 0 110 155 31 0 0 0 0
"Eeli Tolvanen" "W" 20212022 "Nashville Predators" 133.8 75 11 12 23 -7 0 151 176 45 0 0 0 0
"Pius Suter" "C" 20212022 "Detroit Red Wings" 133.8 82 15 21 36 -11 1 166 24 37 0 0 0 0
"Cole Sillinger" "C" 20212022 "Columbus Blue Jackets" 133.5 79 16 15 31 -22 0 148 98 43 0 0 0 0
"Dominik Kubalik" "W" 20212022 "Chicago Blackhawks" 133.4 78 15 17 32 -16 0 161 93 28 0 0 0 0
"Kyle Palmieri" "W" 20212022 "New York Islanders" 133 69 15 18 33 0 0 156 77 18 0 0 0 0
"Hampus Lindholm" "D" 20212022 "Anaheim Ducks" 133 71 5 22 27 10 1 142 70 92 0 0 0 0
"K'Andre Miller" "D" 20212022 "New York Rangers" 133 82 7 13 20 23 0 102 151 95 0 0 0 0
"Alexis Lafrenière" "W" 20212022 "New York Rangers" 133 79 19 12 31 2 0 110 108 26 0 0 0 0
"William Karlsson" "C" 20212022 "Vegas Golden Knights" 132.9 67 12 23 35 3 2 135 42 42 0 0 0 0
"Joel Farabee" "W" 20212022 "Philadelphia Flyers" 132.5 63 17 17 34 -11 1 119 73 38 0 0 0 0
"Matt Boldy" "W" 20212022 "Minnesota Wild" 132.5 47 15 24 39 17 0 113 23 24 0 0 0 0
"Travis Boyd" "C" 20212022 "Arizona Coyotes" 132.3 74 17 18 35 -10 0 88 71 55 0 0 0 0
"Colton Sissons" "C" 20212022 "Nashville Predators" 131.8 79 7 21 28 2 0 87 188 44 0 0 0 0
"Pavel Zacha" "C" 20212022 "New Jersey Devils" 131.7 70 15 21 36 -21 0 148 80 18 0 0 0 0
"Brett Pesce" "D" 20212022 "Carolina Hurricanes" 131.6 70 7 21 28 5 0 148 39 99 0 0 0 0
"Andrew Peeke" "D" 20212022 "Columbus Blue Jackets" 131.1 82 2 13 15 -14 0 72 191 169 0 0 0 0
"Ryan Suter" "D" 20212022 "Dallas Stars" 130.5 82 7 25 32 1 0 118 46 88 0 0 0 0
"Jeremy Swayman" "G" 20212022 "Boston Bruins" 130.45 41 0 0 0 0 0 0 0 0 23 96 1015 3
"Alex Goligoski" "D" 20212022 "Minnesota Wild" 130.3 72 2 28 30 41 0 80 56 96 0 0 0 0
"Sean Durzi" "D" 20212022 "Los Angeles Kings" 130.2 64 3 24 27 -9 1 119 74 121 0 0 0 0
"J.T. Compher" "W" 20212022 "Colorado Avalanche" 129.9 70 18 15 33 6 1 102 31 55 0 0 0 0
"Dylan Cozens" "C" 20212022 "Buffalo Sabres" 129.9 79 13 25 38 -19 1 160 35 22 0 0 0 0
"Nate Schmidt" "D" 20212022 "Winnipeg Jets" 129.8 77 4 28 32 -4 1 117 37 104 0 0 0 0
"Alexander Barabanov" "W" 20212022 "San Jose Sharks" 129.4 70 10 29 39 -5 0 103 53 39 0 0 0 0
"Kasperi Kapanen" "W" 20212022 "Pittsburgh Penguins" 129.1 79 11 21 32 2 0 129 110 19 0 0 0 0
"Josh Bailey" "W" 20212022 "New York Islanders" 128.9 74 14 30 44 -7 0 87 19 26 0 0 0 0
"Nick Jensen" "D" 20212022 "Washington Capitals" 128.8 76 5 16 21 32 0 88 135 92 0 0 0 0
"Ryan Pulock" "D" 20212022 "New York Islanders" 128.6 56 5 16 21 0 1 122 86 130 0 0 0 0
"Robin Lehner" "G" 20212022 "Vegas Golden Knights" 128.2 44 0 0 0 0 0 0 0 0 23 120 1168 1
"Patric Hornqvist" "W" 20212022 "Florida Panthers" 127.8 65 11 17 28 -5 0 165 112 23 0 0 0 0
"Dmitry Kulikov" "D" 20212022 "Minnesota Wild" 127.6 80 7 17 24 23 0 74 100 103 0 0 0 0
"Erik Gudbranson" "D" 20212022 "Calgary Flames" 126.9 78 6 11 17 15 0 129 145 92 0 0 0 0
"Lars Eller" "C" 20212022 "Washington Capitals" 126.8 72 13 18 31 -4 0 116 95 36 0 0 0 0
"Pat Maroon" "W" 20212022 "Tampa Bay Lightning" 126.7 81 11 16 27 20 0 102 160 11 0 0 0 0
"Andreas Johnsson" "W" 20212022 "New Jersey Devils" 126.4 71 13 22 35 4 0 114 64 22 0 0 0 0
"Nick Bonino" "C" 20212022 "San Jose Sharks" 126.3 80 16 10 26 -25 1 137 34 102 0 0 0 0
"Zach Whitecloud" "D" 20212022 "Vegas Golden Knights" 126.2 59 8 11 19 21 1 94 98 115 0 0 0 0
"Logan O'Connor" "W" 20212022 "Colorado Avalanche" 126.1 81 8 16 24 10 4 127 100 59 0 0 0 0
"Jani Hakanpaa" "D" 20212022 "Dallas Stars" 126.1 80 4 8 12 1 1 68 248 112 0 0 0 0
"Mathieu Joseph" "W" 20212022 "Tampa Bay Lightning" 126.1 69 12 18 30 12 4 86 106 27 0 0 0 0
"Justin Holl" "D" 20212022 "Toronto Maple Leafs" 126 69 3 20 23 14 3 64 129 104 0 0 0 0
"Connor Brown" "W" 20212022 "Ottawa Senators" 125.6 64 10 29 39 -15 4 121 14 37 0 0 0 0
"Denis Gurianov" "W" 20212022 "Dallas Stars" 125.4 73 11 20 31 2 0 144 67 32 0 0 0 0
"Ryan Donato" "C" 20212022 "Seattle Kraken" 125 74 16 15 31 -13 0 159 70 17 0 0 0 0
"Jake Evans" "C" 20212022 "Montréal Canadiens" 124 72 13 16 29 -5 1 124 88 37 0 0 0 0
"TJ Brodie" "D" 20212022 "Toronto Maple Leafs" 124 82 4 24 28 20 2 68 53 106 0 0 0 0
"Alex Newhook" "C" 20212022 "Colorado Avalanche" 123.7 71 13 20 33 11 0 113 40 36 0 0 0 0
"Brian Dumoulin" "D" 20212022 "Pittsburgh Penguins" 123.7 76 3 15 18 24 0 91 88 139 0 0 0 0
"Nic Dowd" "C" 20212022 "Washington Capitals" 123.7 64 10 14 24 10 1 90 139 53 0 0 0 0
"Nikita Zadorov" "D" 20212022 "Calgary Flames" 123.4 74 4 18 22 11 0 106 181 49 0 0 0 0
"Mike Hoffman" "W" 20212022 "Montréal Canadiens" 122.7 67 15 20 35 -24 0 154 27 29 0 0 0 0
"Brandon Carlo" "D" 20212022 "Boston Bruins" 122.4 79 6 9 15 2 1 125 143 104 0 0 0 0
"Derek Grant" "C" 20212022 "Anaheim Ducks" 122.1 71 15 14 29 -16 2 117 69 49 0 0 0 0
"Ryan Lindgren" "D" 20212022 "New York Rangers" 122.1 78 4 11 15 18 0 73 129 141 0 0 0 0
"Vitek Vanecek" "G" 20212022 "Washington Capitals" 121.7 42 0 0 0 0 0 0 0 0 20 103 1014 4
"Anthony Beauvillier" "W" 20212022 "New York Islanders" 121.6 75 12 22 34 -10 0 154 39 20 0 0 0 0
"Austin Watson" "W" 20212022 "Ottawa Senators" 121.2 67 10 6 16 -3 1 88 213 63 0 0 0 0
"Zach Sanford" "W" 20212022 "Ottawa Senators" 121.2 80 9 12 21 -15 0 104 169 67 0 0 0 0
"Carson Soucy" "D" 20212022 "Seattle Kraken" 121 64 10 11 21 7 2 97 118 73 0 0 0 0
"Max Domi" "C" 20212022 "Columbus Blue Jackets" 120.3 72 11 28 39 10 0 104 24 9 0 0 0 0
"Vladislav Namestnikov" "C" 20212022 "Detroit Red Wings" 119.9 75 16 14 30 2 1 91 62 39 0 0 0 0
"Alex Wennberg" "C" 20212022 "Seattle Kraken" 119.8 80 11 26 37 -26 1 95 47 44 0 0 0 0
"Warren Foegele" "W" 20212022 "Edmonton Oilers" 119.6 82 12 14 26 -9 0 142 127 15 0 0 0 0
"Jonathan Toews" "C" 20212022 "Chicago Blackhawks" 119.4 71 12 25 37 -14 1 125 25 22 0 0 0 0
"Tomas Tatar" "W" 20212022 "New Jersey Devils" 118.2 76 15 15 30 -22 0 132 75 28 0 0 0 0
"Drew Doughty" "D" 20212022 "Los Angeles Kings" 117.9 39 7 24 31 4 0 99 60 53 0 0 0 0
"Karel Vejmelka" "G" 20212022 "Arizona Coyotes" 117.85 52 0 0 0 0 0 0 0 0 13 170 1499 1
"Dante Fabbro" "D" 20212022 "Nashville Predators" 117.8 66 3 21 24 13 0 88 69 105 0 0 0 0
"Nathan Bastian" "W" 20212022 "Seattle Kraken" 117.8 72 12 6 18 -12 0 97 210 40 0 0 0 0
"Vasily Podkolzin" "W" 20212022 "Vancouver Canucks" 117.8 79 14 12 26 7 0 115 84 33 0 0 0 0
"Isac Lundestrom" "C" 20212022 "Anaheim Ducks" 117.8 80 16 13 29 -3 4 83 38 55 0 0 0 0
"Robby Fabbri" "C" 20212022 "Detroit Red Wings" 117.6 56 17 13 30 -23 0 123 86 19 0 0 0 0
"Noah Gregor" "C" 20212022 "San Jose Sharks" 117.2 63 8 15 23 -21 0 156 118 49 0 0 0 0
"Jamie Drysdale" "D" 20212022 "Anaheim Ducks" 117.2 81 4 28 32 -26 0 137 40 72 0 0 0 0
"Oskar Lindblom" "W" 20212022 "Philadelphia Flyers" 117.1 79 12 14 26 -11 0 127 83 48 0 0 0 0
"Nicolas Deslauriers" "W" 20212022 "Anaheim Ducks" 117 81 8 5 13 -11 1 90 263 49 0 0 0 0
"Jamie Oleksiak" "D" 20212022 "Seattle Kraken" 116.9 72 1 16 17 -1 1 95 182 86 0 0 0 0
"Milan Lucic" "W" 20212022 "Calgary Flames" 116.7 82 10 11 21 -9 0 95 209 22 0 0 0 0
"Oliver Wahlstrom" "W" 20212022 "New York Islanders" 116.5 73 13 11 24 -6 0 157 101 19 0 0 0 0
"Erik Karlsson" "D" 20212022 "San Jose Sharks" 116.3 50 10 25 35 -14 0 117 18 45 0 0 0 0
"Teddy Blueger" "C" 20212022 "Pittsburgh Penguins" 116.2 65 9 19 28 12 2 93 87 32 0 0 0 0
"Philip Tomasino" "C" 20212022 "Nashville Predators" 116 76 11 21 32 2 0 111 49 28 0 0 0 0
"Arthur Kaliyev" "W" 20212022 "Los Angeles Kings" 115.7 80 14 13 27 -3 0 194 31 12 0 0 0 0
"Samuel Girard" "D" 20212022 "Colorado Avalanche" 115.6 67 5 23 28 -4 0 79 65 90 0 0 0 0
"Eetu Luostarinen" "C" 20212022 "Florida Panthers" 115.5 78 9 17 26 1 3 84 103 46 0 0 0 0
"Matt Grzelcyk" "D" 20212022 "Boston Bruins" 115.1 73 4 20 24 22 0 118 40 83 0 0 0 0
"Carter Hart" "G" 20212022 "Philadelphia Flyers" 115 45 0 0 0 0 0 0 0 0 13 137 1304 1
"David Kampf" "C" 20212022 "Toronto Maple Leafs" 114.8 82 11 15 26 12 4 102 80 26 0 0 0 0
"Luke Glendening" "C" 20212022 "Dallas Stars" 114.6 82 9 7 16 -17 2 116 179 59 0 0 0 0
"Nick Holden" "D" 20212022 "Ottawa Senators" 114.6 76 5 14 19 0 0 75 115 112 0 0 0 0
"Ian Cole" "D" 20212022 "Carolina Hurricanes" 114.1 75 2 17 19 15 1 77 110 104 0 0 0 0
"William Carrier" "W" 20212022 "Vegas Golden Knights" 114.1 63 9 11 20 7 0 120 159 24 0 0 0 0
"Rem Pitlick" "C" 20212022 "Minnesota Wild" 114 66 15 22 37 -8 1 65 25 28 0 0 0 0
"Ilya Samsonov" "G" 20212022 "Washington Capitals" 113.7 44 0 0 0 0 0 0 0 0 23 119 1026 3
"Sam Gagner" "C" 20212022 "Detroit Red Wings" 112.9 81 13 18 31 -4 1 132 21 25 0 0 0 0
"Rudolfs Balcers" "W" 20212022 "San Jose Sharks" 112.6 61 11 12 23 -3 1 98 115 43 0 0 0 0
"John Marino" "D" 20212022 "Pittsburgh Penguins" 112.3 81 1 24 25 1 2 90 73 88 0 0 0 0
"Curtis Lazar" "C" 20212022 "Boston Bruins" 111.9 70 8 8 16 -2 1 95 186 51 0 0 0 0
"Mario Ferraro" "D" 20212022 "San Jose Sharks" 111.6 63 2 12 14 -5 0 49 140 151 0 0 0 0
"Eric Robinson" "W" 20212022 "Columbus Blue Jackets" 111.5 67 10 17 27 -1 2 104 95 20 0 0 0 0
"Jacob Middleton" "D" 20212022 "San Jose Sharks" 111.4 66 4 10 14 10 1 73 118 124 0 0 0 0
"Nicolas Aube-Kubel" "W" 20212022 "Philadelphia Flyers" 111.1 74 11 12 23 11 0 87 140 18 0 0 0 0
"Jack Eichel" "C" 20212022 "Vegas Golden Knights" 111 34 14 11 25 3 0 133 45 35 0 0 0 0
"Justin Braun" "D" 20212022 "Philadelphia Flyers" 110.9 69 6 12 18 2 0 73 87 121 0 0 0 0
"Christian Dvorak" "C" 20212022 "Montréal Canadiens" 110.7 56 11 22 33 -19 0 87 32 52 0 0 0 0
"Josh Manson" "D" 20212022 "Anaheim Ducks" 109.9 67 6 10 16 -11 0 92 179 70 0 0 0 0
"Nick Ritchie" "W" 20212022 "Toronto Maple Leafs" 109.9 57 12 11 23 -13 0 93 153 22 0 0 0 0
"Brock McGinn" "W" 20212022 "Pittsburgh Penguins" 109.6 64 12 10 22 0 0 99 94 50 0 0 0 0
"David Savard" "D" 20212022 "Montréal Canadiens" 109.5 62 3 14 17 -22 1 66 134 127 0 0 0 0
"Ondrej Kase" "W" 20212022 "Toronto Maple Leafs" 109.4 50 14 13 27 4 1 119 29 32 0 0 0 0
"Ilya Lyubushkin" "D" 20212022 "Arizona Coyotes" 108.2 77 2 13 15 -2 1 54 187 92 0 0 0 0
"Philipp Grubauer" "G" 20212022 "Seattle Kraken" 108.05 55 0 0 0 0 0 0 0 0 18 164 1315 2
"Trevor Lewis" "C" 20212022 "Calgary Flames" 107.5 80 6 10 16 -1 1 108 176 40 0 0 0 0
"Scott Wedgewood" "G" 20212022 "New Jersey Devils" 107.2 37 0 0 0 0 0 0 0 0 13 110 1108 1
"Timothy Liljegren" "D" 20212022 "Toronto Maple Leafs" 106.7 61 5 18 23 15 0 79 87 60 0 0 0 0
"Jesperi Kotkaniemi" "C" 20212022 "Carolina Hurricanes" 106.4 66 12 17 29 3 0 81 74 15 0 0 0 0
"Jordan Binnington" "G" 20212022 "St. Louis Blues" 105.85 37 0 0 0 0 0 0 0 0 18 112 1023 2
"Marcus Pettersson" "D" 20212022 "Pittsburgh Penguins" 105.6 72 2 17 19 8 0 83 122 74 0 0 0 0
"Connor Murphy" "D" 20212022 "Chicago Blackhawks" 105 57 4 6 10 -14 0 71 130 150 0 0 0 0
"Brett Kulak" "D" 20212022 "Montréal Canadiens" 104.7 74 5 16 21 -4 1 92 103 63 0 0 0 0
"Adam Erne" "W" 20212022 "Detroit Red Wings" 104.1 79 6 13 19 -22 0 108 161 43 0 0 0 0
"Jake Bean" "D" 20212022 "Columbus Blue Jackets" 104 67 7 18 25 -5 1 90 41 71 0 0 0 0
"Taylor Raddysh" "W" 20212022 "Tampa Bay Lightning" 104 74 11 11 22 1 1 104 103 21 0 0 0 0
"Jan Rutta" "D" 20212022 "Tampa Bay Lightning" 103.6 76 3 15 18 25 0 86 93 71 0 0 0 0
"Brandon Duhaime" "W" 20212022 "Minnesota Wild" 103.2 80 6 11 17 -2 0 91 201 18 0 0 0 0
"Filip Zadina" "W" 20212022 "Detroit Red Wings" 103.2 74 10 14 24 -24 0 154 57 34 0 0 0 0
"Jon Merrill" "D" 20212022 "Minnesota Wild" 103.1 69 4 16 20 15 0 59 46 112 0 0 0 0
"Derek Forbort" "D" 20212022 "Boston Bruins" 103 76 4 10 14 2 1 64 133 100 0 0 0 0
"Kevin Hayes" "C" 20212022 "Philadelphia Flyers" 103 48 10 21 31 -20 1 126 36 12 0 0 0 0
"Radek Faksa" "C" 20212022 "Dallas Stars" 103 77 5 14 19 -20 2 89 129 68 0 0 0 0
"Kirby Dach" "C" 20212022 "Chicago Blackhawks" 102.8 70 9 17 26 -18 1 116 49 44 0 0 0 0
"Cal Clutterbuck" "W" 20212022 "New York Islanders" 102.7 59 6 9 15 -6 1 74 229 23 0 0 0 0
"Dylan DeMelo" "D" 20212022 "Winnipeg Jets" 102.6 76 1 12 13 10 2 78 113 108 0 0 0 0
"Scott Mayfield" "D" 20212022 "New York Islanders" 102.6 61 3 15 18 -5 1 80 77 109 0 0 0 0
"Chad Ruhwedel" "D" 20212022 "Pittsburgh Penguins" 102.6 78 4 9 13 2 0 82 149 86 0 0 0 0
"Pierre-Edouard Bellemare" "W" 20212022 "Tampa Bay Lightning" 102.4 80 9 11 20 24 1 72 88 44 0 0 0 0
"Dysin Mayo" "D" 20212022 "Arizona Coyotes" 102.3 67 4 8 12 -22 0 76 129 133 0 0 0 0
"Blake Lizotte" "C" 20212022 "Los Angeles Kings" 102.1 70 10 14 24 15 3 91 74 12 0 0 0 0
"Jakob Chychrun" "D" 20212022 "Arizona Coyotes" 101.2 47 7 14 21 -20 0 141 51 66 0 0 0 0
"Erik Cernak" "D" 20212022 "Tampa Bay Lightning" 101.2 55 1 12 13 7 0 86 165 73 0 0 0 0
"Owen Tippett" "W" 20212022 "Florida Panthers" 101 63 10 11 21 -2 0 126 98 16 0 0 0 0
"Casey Cizikas" "C" 20212022 "New York Islanders" 100.8 74 10 6 16 -3 1 91 138 43 0 0 0 0
"Brendan Gallagher" "W" 20212022 "Montréal Canadiens" 100.8 56 7 17 24 -7 0 142 54 29 0 0 0 0
"Mike Reilly" "D" 20212022 "Boston Bruins" 100.7 70 4 13 17 -1 1 135 94 54 0 0 0 0
"Calle Jarnkrok" "C" 20212022 "Seattle Kraken" 100.7 66 12 18 30 -14 0 101 38 17 0 0 0 0
"Logan Stanley" "D" 20212022 "Winnipeg Jets" 100.5 58 1 12 13 1 1 80 131 100 0 0 0 0
"T.J. Oshie" "W" 20212022 "Washington Capitals" 100 44 11 14 25 -12 1 77 86 30 0 0 0 0
"Tyler Motte" "W" 20212022 "Vancouver Canucks" 99.6 58 7 8 15 2 1 101 117 58 0 0 0 0
"Cal Petersen" "G" 20212022 "Los Angeles Kings" 99.55 37 0 0 0 0 0 0 0 0 20 105 897 3
"Mike Smith" "G" 20212022 "Edmonton Oilers" 98.8 28 0 0 0 0 0 0 0 0 16 74 800 2
"Barrett Hayton" "C" 20212022 "Arizona Coyotes" 98.7 60 10 14 24 -8 0 82 84 33 0 0 0 0
"Spencer Knight" "G" 20212022 "Florida Panthers" 98.45 32 0 0 0 0 0 0 0 0 19 81 795 2
"Jonas Siegenthaler" "D" 20212022 "New Jersey Devils" 98.3 70 1 13 14 -5 1 92 98 106 0 0 0 0
"Kaapo Kahkonen" "G" 20212022 "Minnesota Wild" 98.05 36 0 0 0 0 0 0 0 0 14 93 963 0
"Justin Schultz" "D" 20212022 "Washington Capitals" 98 74 4 19 23 -15 0 92 40 87 0 0 0 0
"Michael McLeod" "C" 20212022 "New Jersey Devils" 97.9 77 6 14 20 -13 1 78 145 34 0 0 0 0
"Rasmus Asplund" "C" 20212022 "Buffalo Sabres" 97.7 80 8 19 27 -5 1 130 30 14 0 0 0 0
"Trent Frederic" "C" 20212022 "Boston Bruins" 97.4 60 8 10 18 10 0 100 119 22 0 0 0 0
"Mark Stone" "W" 20212022 "Vegas Golden Knights" 97.3 37 9 21 30 7 1 71 19 24 0 0 0 0
"Nico Sturm" "C" 20212022 "Minnesota Wild" 96.6 74 9 11 20 -7 1 101 99 29 0 0 0 0
"Ryan Reaves" "W" 20212022 "New York Rangers" 96.5 69 5 8 13 -13 0 44 279 16 0 0 0 0
"Marco Scandella" "D" 20212022 "St. Louis Blues" 95.5 70 3 11 14 17 2 76 106 70 0 0 0 0
"Marcus Johansson" "W" 20212022 "Seattle Kraken" 95.4 69 9 20 29 -26 0 111 31 26 0 0 0 0
"Trevor van Riemsdyk" "D" 20212022 "Washington Capitals" 93.8 72 1 16 17 -3 1 75 25 129 0 0 0 0
"Nikita Zaitsev" "D" 20212022 "Ottawa Senators" 93.4 62 2 9 11 -7 2 65 128 103 0 0 0 0
